Date,score,decision
2025-08-28,0.15,NEUTRAL
2025-08-29,-0.15,NEUTRAL
2025-09-02,-0.44999999999999996,SELL
2025-09-03,-0.44999999999999996,SELL
2025-09-04,0.44999999999999996,BUY
2025-09-05,0.44999999999999996,BUY
2025-09-08,0.44999999999999996,BUY
2025-09-09,0.44999999999999996,BUY
2025-09-10,0.44999999999999996,BUY
2025-09-11,0.44999999999999996,BUY
2025-09-12,0.44999999999999996,BUY
2025-09-15,0.44999999999999996,BUY
2025-09-16,0.44999999999999996,BUY
2025-09-17,0.1,NEUTRAL
2025-09-18,0.1,NEUTRAL
2025-09-19,0.1,NEUTRAL
2025-09-22,0.1,NEUTRAL
2025-09-23,0.1,NEUTRAL
2025-09-24,0.1,NEUTRAL
2025-09-25,0.1,NEUTRAL
2025-09-26,0.2,NEUTRAL
2025-09-29,0.2,NEUTRAL
2025-09-30,0.2,NEUTRAL
2025-10-01,0.1,NEUTRAL
2025-10-02,0.2,NEUTRAL
2025-10-03,0.2,NEUTRAL
2025-10-06,0.25,NEUTRAL
2025-10-07,0.1,NEUTRAL
2025-10-08,0.1,NEUTRAL
2025-10-09,-0.19999999999999998,NEUTRAL
2025-10-10,-0.19999999999999998,NEUTRAL
2025-10-13,-0.3,SELL
2025-10-14,-0.5,SELL
2025-10-15,-0.25,NEUTRAL
2025-10-16,-0.25,NEUTRAL
2025-10-17,-0.15,NEUTRAL
2025-10-20,0.15,NEUTRAL
2025-10-21,-0.25,NEUTRAL
2025-10-22,-0.25,NEUTRAL
2025-10-23,-0.15,NEUTRAL
2025-10-24,-0.25,NEUTRAL
2025-10-27,-0.15,NEUTRAL
2025-10-28,-0.15,NEUTRAL
2025-10-29,-0.25,NEUTRAL
2025-10-30,-0.15,NEUTRAL
2025-10-31,-0.04999999999999999,NEUTRAL
2025-11-03,-0.15,NEUTRAL
2025-11-04,-0.25,NEUTRAL
2025-11-05,-0.25,NEUTRAL
2025-11-06,0.09999999999999998,NEUTRAL
2025-11-07,0.09999999999999998,NEUTRAL
2025-11-10,0.09999999999999998,NEUTRAL
2025-11-11,-0.1,NEUTRAL
2025-11-12,-0.1,NEUTRAL
2025-11-13,-0.1,NEUTRAL
2025-11-14,-0.44999999999999996,SELL
2025-11-17,-0.04999999999999999,NEUTRAL
2025-11-18,-0.04999999999999999,NEUTRAL
2025-11-19,0.15,NEUTRAL
2025-11-20,0.15,NEUTRAL
2025-11-21,0.15,NEUTRAL
2025-11-24,-0.2,NEUTRAL
2025-11-25,-0.1,NEUTRAL
2025-11-26,-0.44999999999999996,SELL
2025-11-28,-0.44999999999999996,SELL
2025-12-01,-0.2,NEUTRAL
2025-12-02,-0.1,NEUTRAL
2025-12-03,-0.44999999999999996,SELL
2025-12-04,-0.44999999999999996,SELL
2025-12-05,-0.15,NEUTRAL
2025-12-08,0.25,NEUTRAL
2025-12-09,0.25,NEUTRAL
2025-12-10,0.25,NEUTRAL
2025-12-11,0.25,NEUTRAL
2025-12-12,0.25,NEUTRAL
2025-12-15,-0.09999999999999998,NEUTRAL
2025-12-16,0.15,NEUTRAL
2025-12-17,0.15,NEUTRAL
2025-12-18,0.04999999999999999,NEUTRAL
2025-12-19,0.15,NEUTRAL
2025-12-22,0.44999999999999996,BUY
2025-12-23,0.44999999999999996,BUY
2025-12-24,0.5499999999999999,BUY
2025-12-26,0.44999999999999996,BUY
2025-12-29,0.5499999999999999,BUY
2025-12-30,0.44999999999999996,BUY
2025-12-31,0.44999999999999996,BUY
2026-01-02,0.2,NEUTRAL
2026-01-05,0.25,NEUTRAL
2026-01-06,0.25,NEUTRAL
2026-01-07,0.44999999999999996,BUY
2026-01-08,0.15000000000000002,NEUTRAL
2026-01-09,0.25,NEUTRAL
2026-01-12,0.25,NEUTRAL
2026-01-13,0.2,NEUTRAL
2026-01-14,0.2,NEUTRAL
2026-01-15,0.2,NEUTRAL
2026-01-16,0.15000000000000002,NEUTRAL
2026-01-20,0.05,NEUTRAL
2026-01-21,0.05,NEUTRAL
2026-01-22,0.1,NEUTRAL
2026-01-23,0.1,NEUTRAL
2026-01-26,0.1,NEUTRAL
2026-01-27,-0.05999999999999999,NEUTRAL
2026-01-28,0.1,NEUTRAL
2026-01-29,0.05,NEUTRAL
2026-01-30,0.05,NEUTRAL
2026-02-02,0.05,NEUTRAL
2026-02-03,0.05,NEUTRAL
2026-02-04,0.39999999999999997,BUY
2026-02-05,0.09999999999999999,NEUTRAL
2026-02-06,-0.05999999999999999,NEUTRAL
2026-02-09,-0.029999999999999992,NEUTRAL
2026-02-10,-0.05999999999999999,NEUTRAL
2026-02-11,-0.05999999999999999,NEUTRAL
2026-02-12,-0.05999999999999999,NEUTRAL
2026-02-13,-0.04499999999999999,NEUTRAL
2026-02-17,-0.075,NEUTRAL
2026-02-18,-0.075,NEUTRAL
2026-02-19,-0.04499999999999999,NEUTRAL
2026-02-20,-0.075,NEUTRAL
2026-02-23,-0.075,NEUTRAL
2026-02-24,-0.05999999999999999,NEUTRAL
2026-02-25,-0.045,NEUTRAL
2026-02-26,-0.075,NEUTRAL
2026-02-27,-0.045,NEUTRAL
